date,open,high,low,close,volume,adj_close,returns,log_returns,volatility
2023-02-12,21862.02,22090.0,21630.0,21783.54,204435.65163,21783.54,-0.0036139425638820333,-0.0036204886304742638,0.02259276711774021
2023-02-13,21782.37,21894.99,21351.07,21773.97,295730.76791,21773.97,-0.0004393225343538587,-0.00043941906477148134,0.022729603866637225
2023-02-14,21774.63,22319.08,21532.77,22199.84,361958.40109,22199.84,0.01955867487646934,0.01936986197704005,0.022448661457661587
2023-02-15,22199.84,24380.0,22047.28,24324.05,375669.16111,24324.05,0.09568582476270104,0.09138049119365944,0.04423182551863118
2023-02-16,24322.87,25250.0,23505.25,23517.72,450080.68366,23517.72,-0.033149496074872276,-0.033711393282664585,0.04060272864921481
2023-02-17,23517.72,25021.11,23339.37,24569.97,496813.21376,24569.97,0.04474285772600406,0.043770785975072134,0.04126513995488296
2023-02-18,24568.24,24877.0,24430.0,24631.95,216917.25213,24631.95,0.002522591602675872,0.002519415209186526,0.04166457518895179
2023-02-19,24632.05,25192.0,24192.57,24271.76,300395.99542,24271.76,-0.014622878010064233,-0.014730846119734737,0.0428042397111746
2023-02-20,24272.51,25121.23,23840.83,24842.2,346938.56997,24842.2,0.02350220997570851,0.023230285350592204,0.042193291563075094
2023-02-21,24843.89,25250.0,24148.34,24452.16,376000.82868,24452.16,-0.01570070283630276,-0.015825264394064464,0.04427311552042513
2023-02-22,24450.67,24476.05,23574.69,24182.21,379425.75365,24182.21,-0.011039924489288477,-0.011101316717520895,0.026582407629086834
2023-02-23,24182.21,24599.59,23608.0,23940.2,398400.45437,23940.2,-0.01000777017485166,-0.01005818454576867,0.023055263372451548
2023-02-24,23940.2,24132.35,22841.19,23185.29,343582.57453,23185.29,-0.031533153440656325,-0.032041028461487375,0.017191318364388197
2023-02-25,23184.04,23219.13,22722.0,23157.07,191311.8101,23157.07,-0.0012171510470647684,-0.0012178923770018468,0.016860174153567966
2023-02-26,23157.07,23689.99,23059.18,23554.85,202323.73623,23554.85,0.017177475388725716,0.01703161058168721,0.019118665675772688
2023-02-27,23554.85,23897.99,23106.77,23492.09,283706.0859,23492.09,-0.002664419429544207,-0.0026679753126395687,0.014914289323726567
2023-02-28,23492.09,23600.0,23020.97,23141.57,264140.99894,23141.57,-0.014920766947512987,-0.015033201397948169,0.014848677885666132
2023-03-01,23141.57,24000.0,23020.03,23628.97,315287.41737,23628.97,0.021061665219775483,0.020842934243896633,0.018232597314823296
2023-03-02,23629.76,23796.93,23195.9,23465.32,239315.45219,23465.32,-0.00692582029601807,-0.006949915104728103,0.018076154531580905
2023-03-03,23465.32,23476.95,21971.13,22354.34,319954.19785,22354.34,-0.04734561471993559,-0.048503100831987105,0.022679260979413397
2023-03-04,22354.34,22410.0,22157.08,22346.57,121257.38132,22346.57,-0.0003475835117475734,-0.00034764393289772876,0.02270564980331607
2023-03-05,22346.57,22662.09,22189.22,22430.24,154841.75786,22430.24,0.00374419877412957,0.003737206709584325,0.021040013355096903
2023-03-06,22430.24,22602.19,22258.0,22410.0,203751.82957,22410.0,-0.0009023532516817534,-0.000902760617454153,0.021107767542467813
2023-03-07,22409.41,22557.91,21927.0,22197.96,292519.80912,22197.96,-0.009461847389558242,-0.009506895048812334,0.020844846523679194
2023-03-08,22198.56,22287.0,21580.0,21705.44,301460.57272,21705.44,-0.022187624448372745,-0.022437472391169118,0.01775790479511279
2023-03-09,21704.37,21834.99,20042.72,20362.22,443658.28584,20362.22,-0.06188402538718396,-0.06388169730657518,0.025600274985407682
2023-03-10,20362.21,20367.78,19549.09,20150.69,618456.4671,20150.69,-0.010388356475865668,-0.010442692083692516,0.02260040912318612
2023-03-11,20150.69,20686.51,19765.03,20455.73,427831.82133,20455.73,0.015137943167206735,0.015024507857790617,0.024860309764867694
2023-03-12,20455.73,22150.0,20270.6,21997.11,430944.94288,21997.11,0.07535199183798391,0.07264804225261712,0.04162913437211404
2023-03-13,21998.05,24500.0,21813.88,24113.48,687889.31259,24113.48,0.09621127502658289,0.0918599391330703,0.055833293260186934
2023-03-14,24112.27,26386.87,23976.42,24670.41,699360.93423,24670.41,0.023096210086640312,0.022833529552860565,0.05511590386780459
2023-03-15,24670.41,25196.97,23896.95,24285.66,581450.72984,24285.66,-0.01559560623435119,-0.015718497080592527,0.054396800173254226
2023-03-16,24285.66,25167.4,24123.0,24998.78,439421.32998,24998.78,0.02936383034267953,0.028940970979109415,0.04167017387766614
2023-03-17,24998.78,27756.84,24890.0,27395.13,624460.68091,27395.13,0.09585867790348179,0.0915382366931726,0.043618578970813685
2023-03-18,27395.13,27724.85,26578.0,26907.49,371238.97174,26907.49,-0.017800244057976755,-0.017960573857961144,0.04891192515806061
2023-03-19,26907.49,28390.1,26827.22,27972.87,372066.99054,27972.87,0.039594179910500626,0.03883042537639571,0.04652645385859984
2023-03-20,27972.87,28472.0,27124.47,27717.01,477378.23373,27717.01,-0.009146719660871439,-0.009188807742989342,0.04036718051294952
2023-03-21,27717.01,28438.55,27303.1,28105.47,420929.7422,28105.47,0.014015220256441863,0.013917915171174959,0.04042573377322636
2023-03-22,28107.81,28868.05,26601.8,27250.97,224113.41296,27250.97,-0.030403334297558482,-0.030875102511240874,0.04287941527391145
2023-03-23,27250.97,28750.0,27105.0,28295.41,128649.60818,28295.41,0.038326709104299805,0.037610483876124916,0.04342809883648716
2023-03-24,28295.42,28374.3,27000.0,27454.47,86242.06544,27454.47,-0.029720014659621374,-0.030170604453767236,0.030104908256751634
